Line,Direction,Station from (A),Station to (B),Distance (Kms)
Bakerloo,Southbound,harrow & wealdstone,kenton,1.74
Bakerloo,Southbound,kenton,south kenton,1.4
Bakerloo,Southbound,south kenton,north wembley,0.9
Bakerloo,Southbound,north wembley,wembley central,1.27
Bakerloo,Southbound,wembley central,stonebridge park,1.71
Bakerloo,Southbound,stonebridge park,harlesden,1.53
Bakerloo,Southbound,harlesden,willesden junction,1.05
Bakerloo,Southbound,willesden junction,kensal green,1.5
Bakerloo,Southbound,kensal green,queens park,1.32
Bakerloo,Southbound,queens park,kilburn park,0.79
Bakerloo,Southbound,kilburn park,maida vale,0.88
Bakerloo,Southbound,maida vale,warwick avenue,0.79
Bakerloo,Southbound,warwick avenue,paddington,0.88
Bakerloo,Southbound,paddington,edgware road,0.72
Bakerloo,Southbound,edgware road,marylebone,0.45
Bakerloo,Southbound,marylebone,baker street,0.5
Bakerloo,Southbound,baker street,regents park,0.88
Bakerloo,Southbound,regents park,oxford circus,0.87
Bakerloo,Southbound,oxford circus,piccadilly circus,0.97
Bakerloo,Southbound,piccadilly circus,charing cross,0.55
Bakerloo,Southbound,charing cross,embankment,0.37
Bakerloo,Southbound,embankment,waterloo,0.71
Bakerloo,Southbound,waterloo,lambeth north,0.63
Bakerloo,Southbound,lambeth north,elephant & castle,0.82
Bakerloo,Northbound,elephant & castle,lambeth north,0.82
Bakerloo,Northbound,lambeth north,waterloo,0.63
Bakerloo,Northbound,waterloo,embankment,0.71
Bakerloo,Northbound,embankment,charing cross,0.37
Bakerloo,Northbound,charing cross,piccadilly circus,0.55
Bakerloo,Northbound,piccadilly circus,oxford circus,0.97
Bakerloo,Northbound,oxford circus,regents park,0.87
Bakerloo,Northbound,regents park,baker street,0.88
Bakerloo,Northbound,baker street,marylebone,0.5
Bakerloo,Northbound,marylebone,edgware road,0.45
Bakerloo,Northbound,edgware road,paddington,0.72
Bakerloo,Northbound,paddington,warwick avenue,0.88
Bakerloo,Northbound,warwick avenue,maida vale,0.79
Bakerloo,Northbound,maida vale,kilburn park,0.88
Bakerloo,Northbound,kilburn park,queens park,0.79
Bakerloo,Northbound,queens park,kensal green,1.32
Bakerloo,Northbound,kensal green,willesden junction,1.5
Bakerloo,Northbound,willesden junction,harlesden,1.05
Bakerloo,Northbound,harlesden,stonebridge park,1.53
Bakerloo,Northbound,stonebridge park,wembley central,1.71
Bakerloo,Northbound,wembley central,north wembley,1.27
Bakerloo,Northbound,north wembley,south kenton,0.9
Bakerloo,Northbound,south kenton,kenton,1.4
Bakerloo,Northbound,kenton,harrow & wealdstone,1.74
Central,Eastbound,west ruislip,ruislip gardens,2.04
Central,Eastbound,ruislip gardens,south ruislip,0.87
Central,Eastbound,south ruislip,northolt,2.29
Central,Eastbound,northolt,greenford,1.79
Central,Eastbound,greenford,perivale,1.69
Central,Eastbound,perivale,hanger lane,2.11
Central,Eastbound,hanger lane,north acton,2.49
Central,Eastbound,ealing broadway,west acton,1.53
Central,Eastbound,west acton,north acton,1.77
Central,Eastbound,north acton,east acton,1.11
Central,Eastbound,east acton,white city,2.06
Central,Eastbound,white city,shepherds bush,1.16
Central,Eastbound,shepherds bush,holland park,0.87
Central,Eastbound,holland park,notting hill gate,0.61
Central,Eastbound,notting hill gate,queensway,0.69
Central,Eastbound,queensway,lancaster gate,0.9
Central,Eastbound,lancaster gate,marble arch,1.21
Central,Eastbound,marble arch,bond street,0.55
Central,Eastbound,bond street,oxford circus,0.66
Central,Eastbound,oxford circus,tottenham court road,0.58
Central,Eastbound,tottenham court road,holborn,0.89
Central,Eastbound,holborn,chancery lane,0.4
Central,Eastbound,chancery lane,st pauls,1.03
Central,Eastbound,st pauls,bank,0.74
Central,Eastbound,bank,liverpool street,0.74
Central,Eastbound,liverpool street,bethnal green,2.27
Central,Eastbound,bethnal green,mile end,1.64
Central,Eastbound,mile end,stratford,2.83
Central,Eastbound,stratford,leyton,2.09
Central,Eastbound,leyton,leytonstone,1.63
Central,Eastbound,leytonstone,wanstead,1.72
Central,Eastbound,wanstead,redbridge,1.22
Central,Eastbound,redbridge,gants hill,1.27
Central,Eastbound,gants hill,newbury park,2.37
Central,Eastbound,newbury park,barkingside,1.11
Central,Eastbound,barkingside,fairlop,1.22
Central,Eastbound,fairlop,hainault,0.76
Central,Eastbound,leytonstone,snaresbrook,1.58
Central,Eastbound,snaresbrook,south woodford,1.29
Central,Eastbound,south woodford,woodford,1.8
Central,Inner,roding valley,woodford,1.34
Central,Inner,chigwell,roding valley,2.28
Central,Inner,grange hill,chigwell,1.32
Central,Inner,hainault,grange hill,1.13
Central,Eastbound,woodford,buckhurst hill,2.32
Central,Eastbound,buckhurst hill,loughton,1.83
Central,Eastbound,loughton,debden,2.03
Central,Eastbound,debden,theydon bois,3.35
Central,Eastbound,theydon bois,epping,2.54
Central,Westbound,epping,theydon bois,2.54
Central,Westbound,theydon bois,debden,3.35
Central,Westbound,debden,loughton,2.03
Central,Westbound,loughton,buckhurst hill,1.83
Central,Westbound,buckhurst hill,woodford,2.32
Central,Outer,grange hill,hainault,1.13
Central,Outer,chigwell,grange hill,1.32
Central,Outer,roding valley,chigwell,2.28
Central,Outer,woodford,roding valley,1.34
Central,Westbound,woodford,south woodford,1.8
Central,Westbound,south woodford,snaresbrook,1.29
Central,Westbound,snaresbrook,leytonstone,1.58
Central,Westbound,hainault,fairlop,0.76
Central,Westbound,fairlop,barkingside,1.22
Central,Westbound,barkingside,newbury park,1.11
Central,Westbound,newbury park,gants hill,2.37
Central,Westbound,gants hill,redbridge,1.27
Central,Westbound,redbridge,wanstead,1.22
Central,Westbound,wanstead,leytonstone,1.72
Central,Westbound,leytonstone,leyton,1.63
Central,Westbound,leyton,stratford,2.09
Central,Westbound,stratford,mile end,2.83
Central,Westbound,mile end,bethnal green,1.64
Central,Westbound,bethnal green,liverpool street,2.27
Central,Westbound,liverpool street,bank,0.74
Central,Westbound,bank,st pauls,0.74
Central,Westbound,st pauls,chancery lane,1.03
Central,Westbound,chancery lane,holborn,0.4
Central,Westbound,holborn,tottenham court road,0.89
Central,Westbound,tottenham court road,oxford circus,0.58
Central,Westbound,oxford circus,bond street,0.66
Central,Westbound,bond street,marble arch,0.55
Central,Westbound,marble arch,lancaster gate,1.21
Central,Westbound,lancaster gate,queensway,0.9
Central,Westbound,queensway,notting hill gate,0.69
Central,Westbound,notting hill gate,holland park,0.61
Central,Westbound,holland park,shepherds bush,0.87
Central,Westbound,shepherds bush,white city,1.16
Central,Westbound,white city,east acton,2.06
Central,Westbound,east acton,north acton,1.11
Central,Westbound,north acton,west acton,1.77
Central,Westbound,west acton,ealing broadway,1.53
Central,Westbound,north acton,hanger lane,2.49
Central,Westbound,hanger lane,perivale,2.11
Central,Westbound,perivale,greenford,1.69
Central,Westbound,greenford,northolt,1.79
Central,Westbound,northolt,south ruislip,2.29
Central,Westbound,south ruislip,ruislip gardens,0.87
Central,Westbound,ruislip gardens,west ruislip,2.04
Victoria,Southbound,walthamstow,blackhorse road,1.45
Victoria,Southbound,blackhorse road,tottenham hale,1.37
Victoria,Southbound,tottenham hale,seven sisters,1.05
Victoria,Southbound,seven sisters,finsbury park,3.15
Victoria,Southbound,finsbury park,highbury,1.93
Victoria,Southbound,highbury,kings cross,2.45
Victoria,Southbound,kings cross,euston,0.74
Victoria,Southbound,euston,warren street,0.76
Victoria,Southbound,warren street,oxford circus,0.9
Victoria,Southbound,oxford circus,green park,1.14
Victoria,Southbound,green park,victoria,1.09
Victoria,Southbound,victoria,pimlico,1.19
Victoria,Southbound,pimlico,vauxhall,0.8
Victoria,Southbound,vauxhall,stockwell,1.77
Victoria,Southbound,stockwell,brixton,1.46
Victoria,Northbound,brixton,stockwell,1.46
Victoria,Northbound,stockwell,vauxhall,1.77
Victoria,Northbound,vauxhall,pimlico,0.8
Victoria,Northbound,pimlico,victoria,1.19
Victoria,Northbound,victoria,green park,1.09
Victoria,Northbound,green park,oxford circus,1.14
Victoria,Northbound,oxford circus,warren street,0.9
Victoria,Northbound,warren street,euston,0.76
Victoria,Northbound,euston,kings cross,0.74
Victoria,Northbound,kings cross,highbury,2.45
Victoria,Northbound,highbury,finsbury park,1.93
Victoria,Northbound,finsbury park,seven sisters,3.15
Victoria,Northbound,seven sisters,tottenham hale,1.05
Victoria,Northbound,tottenham hale,blackhorse road,1.37
Victoria,Northbound,blackhorse road,walthamstow,1.45
Waterloo & City,Eastbound,waterloo,bank,2.37
Waterloo & City,Westbound,bank,waterloo,2.37
Jubilee,Eastbound,stanmore,canons park,1.27
Jubilee,Eastbound,canons park,queensbury,1.71
Jubilee,Eastbound,queensbury,kingsbury,1.33
Jubilee,Eastbound,kingsbury,wembley park,2.85
Jubilee,Eastbound,wembley park,neasden,2.28
Jubilee,Eastbound,neasden,dollis hill,0.85
Jubilee,Eastbound,dollis hill,willesden green,1.21
Jubilee,Eastbound,willesden green,kilburn,1.19
Jubilee,Eastbound,kilburn,west hampstead,1.09
Jubilee,Eastbound,west hampstead,finchley road,0.61
Jubilee,Eastbound,finchley road,swiss cottage,0.61
Jubilee,Eastbound,swiss cottage,st johns wood,0.92
Jubilee,Eastbound,st johns wood,baker street,2.06
Jubilee,Eastbound,baker street,bond street,1.66
Jubilee,Eastbound,bond street,green park,1.37
Jubilee,Eastbound,green park,westminster,1.33
Jubilee,Eastbound,westminster,waterloo,0.96
Jubilee,Eastbound,waterloo,southwark,0.44
Jubilee,Eastbound,southwark,london bridge,1.25
Jubilee,Eastbound,london bridge,bermondsey,1.93
Jubilee,Eastbound,bermondsey,canada water,1.06
Jubilee,Eastbound,canada water,canary wharf,2.41
Jubilee,Eastbound,canary wharf,north greenwich,1.71
Jubilee,Eastbound,north greenwich,canning town,1.71
Jubilee,Eastbound,canning town,west ham,1.58
Jubilee,Eastbound,west ham,stratford,1.54
Jubilee,Westbound,stratford,west ham,1.54
Jubilee,Westbound,west ham,canning town,1.58
Jubilee,Westbound,canning town,north greenwich,1.71
Jubilee,Westbound,north greenwich,canary wharf,1.71
Jubilee,Westbound,canary wharf,canada water,2.41
Jubilee,Westbound,canada water,bermondsey,1.06
Jubilee,Westbound,bermondsey,london bridge,1.93
Jubilee,Westbound,london bridge,southwark,1.25
Jubilee,Westbound,southwark,waterloo,0.44
Jubilee,Westbound,waterloo,westminster,0.96
Jubilee,Westbound,westminster,green park,1.33
Jubilee,Westbound,green park,bond street,1.37
Jubilee,Westbound,bond street,baker street,1.66
Jubilee,Westbound,baker street,st johns wood,2.06
Jubilee,Westbound,st johns wood,swiss cottage,0.92
Jubilee,Westbound,swiss cottage,finchley road,0.61
Jubilee,Westbound,finchley road,west hampstead,0.61
Jubilee,Westbound,west hampstead,kilburn,1.09
Jubilee,Westbound,kilburn,willesden green,1.19
Jubilee,Westbound,willesden green,dollis hill,1.21
Jubilee,Westbound,dollis hill,neasden,0.85
Jubilee,Westbound,neasden,wembley park,2.28
Jubilee,Westbound,wembley park,kingsbury,2.85
Jubilee,Westbound,kingsbury,queensbury,1.33
Jubilee,Westbound,queensbury,canons park,1.71
Jubilee,Westbound,canons park,stanmore,1.27
Northern,Southbound,edgware,burnt oak,1.48
Northern,Southbound,burnt oak,colindale,1.32
Northern,Southbound,colindale,hendon central,2.11
Northern,Southbound,hendon central,brent cross,1.11
Northern,Southbound,brent cross,golders green,1.56
Northern,Southbound,golders green,hampstead,2.35
Northern,Southbound,hampstead,belsize park,1.21
Northern,Southbound,belsize park,chalk farm,1.11
