Line,Direction,Station from (A),Station to (B),Distance (Kms),from_id,to_id
Bakerloo,Southbound,harrow & wealdstone,kenton,1.74,114,140
Bakerloo,Southbound,kenton,south kenton,1.4,140,237
Bakerloo,Southbound,south kenton,north wembley,0.9,237,185
Bakerloo,Southbound,north wembley,wembley central,1.27,185,281
Bakerloo,Southbound,wembley central,stonebridge park,1.71,281,246
Bakerloo,Southbound,stonebridge park,harlesden,1.53,246,113
Bakerloo,Southbound,harlesden,willesden junction,1.05,113,298
Bakerloo,Southbound,willesden junction,kensal green,1.5,298,137
Bakerloo,Southbound,kensal green,queen's park,1.32,137,206
Bakerloo,Southbound,queen's park,kilburn park,0.79,206,143
Bakerloo,Southbound,kilburn park,maida vale,0.88,143,159
Bakerloo,Southbound,maida vale,warwick avenue,0.79,159,278
Bakerloo,Southbound,warwick avenue,paddington,0.88,278,193
Bakerloo,Southbound,paddington,edgware road (Bakerloo),0.72,193,82
Bakerloo,Southbound,edgware road (Bakerloo),marylebone,0.45,82,163
Bakerloo,Southbound,marylebone,baker street,0.5,163,11
Bakerloo,Southbound,baker street,regent's park,0.88,11,212
Bakerloo,Southbound,regent's park,oxford circus,0.87,212,192
Bakerloo,Southbound,oxford circus,piccadilly circus,0.97,192,197
Bakerloo,Southbound,piccadilly circus,charing cross,0.55,197,49
Bakerloo,Southbound,charing cross,embankment,0.37,49,87
Bakerloo,Southbound,embankment,waterloo,0.71,87,279
Bakerloo,Southbound,waterloo,lambeth north,0.63,279,148
Bakerloo,Southbound,lambeth north,elephant & castle,0.82,148,84
Bakerloo,Northbound,elephant & castle,lambeth north,0.82,84,148
Bakerloo,Northbound,lambeth north,waterloo,0.63,148,279
Bakerloo,Northbound,waterloo,embankment,0.71,279,87
Bakerloo,Northbound,embankment,charing cross,0.37,87,49
Bakerloo,Northbound,charing cross,piccadilly circus,0.55,49,197
Bakerloo,Northbound,piccadilly circus,oxford circus,0.97,197,192
Bakerloo,Northbound,oxford circus,regent's park,0.87,192,212
Bakerloo,Northbound,regent's park,baker street,0.88,212,11
Bakerloo,Northbound,baker street,marylebone,0.5,11,163
Bakerloo,Northbound,marylebone,edgware road (Bakerloo),0.45,163,82
Bakerloo,Northbound,edgware road (Bakerloo),paddington,0.72,82,193
Bakerloo,Northbound,paddington,warwick avenue,0.88,193,278
Bakerloo,Northbound,warwick avenue,maida vale,0.79,278,159
Bakerloo,Northbound,maida vale,kilburn park,0.88,159,143
Bakerloo,Northbound,kilburn park,queen's park,0.79,143,206
Bakerloo,Northbound,queen's park,kensal green,1.32,206,137
Bakerloo,Northbound,kensal green,willesden junction,1.5,137,298
Bakerloo,Northbound,willesden junction,harlesden,1.05,298,113
Bakerloo,Northbound,harlesden,stonebridge park,1.53,113,246
Bakerloo,Northbound,stonebridge park,wembley central,1.71,246,281
Bakerloo,Northbound,wembley central,north wembley,1.27,281,185
Bakerloo,Northbound,north wembley,south kenton,0.9,185,237
Bakerloo,Northbound,south kenton,kenton,1.4,237,140
Bakerloo,Northbound,kenton,harrow & wealdstone,1.74,140,114
Central,Eastbound,west ruislip,ruislip gardens,2.04,294,221
Central,Eastbound,ruislip gardens,south ruislip,0.87,221,239
Central,Eastbound,south ruislip,northolt,2.29,239,177
Central,Eastbound,northolt,greenford,1.79,177,105
Central,Eastbound,greenford,perivale,1.69,105,196
Central,Eastbound,perivale,hanger lane,2.11,196,112
Central,Eastbound,hanger lane,north acton,2.49,112,181
Central,Eastbound,ealing broadway,west acton,1.53,72,286
Central,Eastbound,west acton,north acton,1.77,286,181
Central,Eastbound,north acton,east acton,1.11,181,76
Central,Eastbound,east acton,white city,2.06,76,296
Central,Eastbound,white city,shepherd's bush,1.16,296,226
Central,Eastbound,shepherd's bush,holland park,0.87,226,127
Central,Eastbound,holland park,notting hill gate,0.61,127,186
Central,Eastbound,notting hill gate,queensway,0.69,186,208
Central,Eastbound,queensway,lancaster gate,0.9,208,149
Central,Eastbound,lancaster gate,marble arch,1.21,149,162
Central,Eastbound,marble arch,bond street,0.55,162,28
Central,Eastbound,bond street,oxford circus,0.66,28,192
Central,Eastbound,oxford circus,tottenham court road,0.58,192,259
Central,Eastbound,tottenham court road,holborn,0.89,259,126
Central,Eastbound,holborn,chancery lane,0.4,126,48
Central,Eastbound,chancery lane,st. paul's,1.03,48,250
Central,Eastbound,st. paul's,bank,0.74,250,13
Central,Eastbound,bank,liverpool street,0.74,13,156
Central,Eastbound,liverpool street,bethnal green,2.27,156,24
Central,Eastbound,bethnal green,mile end,1.64,24,164
Central,Eastbound,mile end,stratford,2.83,164,247
Central,Eastbound,stratford,leyton,2.09,247,153
Central,Eastbound,leyton,leytonstone,1.63,153,154
Central,Eastbound,leytonstone,wanstead,1.72,154,275
Central,Eastbound,wanstead,redbridge,1.22,275,211
Central,Eastbound,redbridge,gants hill,1.27,211,98
Central,Eastbound,gants hill,newbury park,2.37,98,173
Central,Eastbound,newbury park,barkingside,1.11,173,16
Central,Eastbound,barkingside,fairlop,1.22,16,91
Central,Eastbound,fairlop,hainault,0.76,91,109
Central,Eastbound,leytonstone,snaresbrook,1.58,154,230
Central,Eastbound,snaresbrook,south woodford,1.29,230,241
Central,Eastbound,south woodford,woodford,1.8,241,301
Central,Inner,roding valley,woodford,1.34,215,301
Central,Inner,chigwell,roding valley,2.28,51,215
Central,Inner,grange hill,chigwell,1.32,103,51
Central,Inner,hainault,grange hill,1.13,109,103
