id,latitude,longitude,name,zone,total_lines,rail
1,51.5028,-0.2801,acton town,3.0,2,0
2,51.5143,-0.0755,aldgate,1.0,2,0
3,51.5154,-0.0726,aldgate east,1.0,2,0
4,51.5107,-0.013,all saints,2.0,1,0
5,51.5407,-0.2997,alperton,4.0,1,0
7,51.5322,-0.1058,angel,1.0,1,0
8,51.5653,-0.1353,archway,2.5,1,0
9,51.6164,-0.1331,arnos grove,4.0,1,0
10,51.5586,-0.1059,arsenal,2.0,1,0
11,51.5226,-0.1571,baker street,1.0,5,0
12,51.4431,-0.1525,balham,3.0,1,1
13,51.5133,-0.0886,bank,1.0,4,0
14,51.5204,-0.0979,barbican,1.0,3,0
15,51.5396,0.081,barking,4.0,2,1
16,51.5856,0.0887,barkingside,5.0,1,0
17,51.4905,-0.2139,barons court,2.0,2,0
18,51.5121,-0.1879,bayswater,1.0,2,0
19,51.5148,0.0613,beckton,3.0,1,0
20,51.5087,0.055,beckton park,3.0,1,0
21,51.5403,0.127,becontree,5.0,1,0
22,51.5504,-0.1642,belsize park,2.0,1,0
24,51.527,-0.0549,bethnal green,2.0,1,0
25,51.512,-0.1031,blackfriars,1.0,2,0
26,51.5867,-0.0417,blackhorse road,3.0,1,1
27,51.5079,-0.0066,blackwall,2.0,1,0
28,51.5142,-0.1494,bond street,1.0,2,0
29,51.5011,-0.0943,borough,1.0,1,0
30,51.4956,-0.325,boston manor,4.0,1,0
31,51.6071,-0.1243,bounds green,3.5,1,0
32,51.5273,-0.0208,bow church,2.0,3,0
33,51.5269,-0.0247,bow road,2.0,2,0
34,51.5766,-0.2136,brent cross,3.0,1,0
36,51.5248,-0.0119,bromley-by-bow,2.5,2,0
38,51.6028,-0.2641,burnt oak,4.0,1,0
39,51.5481,-0.1188,caledonian road,2.0,1,0
40,51.5392,-0.1426,camden town,2.0,1,0
42,51.5051,-0.0209,canary wharf,2.0,2,0
44,51.5113,-0.0904,cannon street,1.0,2,0
45,51.6078,-0.2947,canons park,5.0,1,0
47,51.5441,-0.1538,chalk farm,2.0,1,0
48,51.5185,-0.1111,chancery lane,1.0,1,0
49,51.508,-0.1247,charing cross,1.0,2,1
51,51.6177,0.0755,chigwell,5.0,1,0
52,51.4946,-0.2678,chiswick park,3.0,1,0
54,51.4618,-0.1384,clapham common,2.0,1,0
55,51.4649,-0.1299,clapham north,2.0,1,0
56,51.4527,-0.148,clapham south,2.5,1,0
58,51.5955,-0.2502,colindale,4.0,1,0
59,51.418,-0.1778,colliers wood,3.0,1,0
60,51.5129,-0.1243,covent garden,1.0,1,0
61,51.4957,-0.0144,crossharbour & london arena,2.0,1,0
63,51.5095,0.0276,custom house,3.0,1,0
65,51.5085,0.064,cyprus,3.0,1,0
66,51.5443,0.1655,dagenham east,5.0,1,0
67,51.5417,0.1469,dagenham heathway,5.0,1,0
70,51.5223,-0.0173,devons road,2.0,1,0
71,51.552,-0.2387,dollis hill,3.0,1,0
72,51.5152,-0.3017,ealing broadway,3.0,2,1
73,51.5101,-0.2882,ealing common,3.0,2,0
74,51.492,-0.1973,earl's court,1.5,2,0
75,51.5765,-0.397,eastcote,5.0,2,0
76,51.5168,-0.2474,east acton,2.0,1,0
77,51.5874,-0.165,east finchley,3.0,1,0
78,51.5394,0.0518,east ham,3.5,2,0
79,51.5093,-0.0021,east india,2.5,1,0
80,51.4586,-0.2112,east putney,2.5,1,0
81,51.6137,-0.275,edgware,5.0,1,0
82,51.5199,-0.1679,edgware road (b),1.0,1,0
83,51.5203,-0.17,edgware road (c),1.0,3,0
84,51.4943,-0.1001,elephant & castle,1.5,2,1
85,51.5496,0.1977,elm park,6.0,1,0
87,51.5074,-0.1223,embankment,1.0,4,0
89,51.5282,-0.1337,euston,1.0,2,1
